Gender:,Which income-group do you belong to?,SENSING/INTUITION,EXTRAVERSION/INTROVERSION,JUDGING/PERCEIVING,THINKING/FEELINGS,logical intelligence,Nature intelligence,Visual intelligence,Musical intelligence,Body intelligence,Interpersonal intelligence,Intrapersonal intelligence,Verbal intelligence,Existential intelligence,Specialization:
0.0,3.0,0.428571429,0.285714286,0.857142857,0.285714286,0.75,0.55,0.6,0.2,0.55,0.8,0.7,0.7,0.8,Nutrition Sciences
0.0,1.0,0.571428571,0.285714286,0.714285714,1.0,0.75,0.9,0.6,0.5,0.8,0.8,0.4,0.5,0.7,Biotechnology
0.0,1.0,0.571428571,0.428571429,0.857142857,0.714285714,0.95,0.95,0.9,0.7,0.85,0.9,0.6,0.6,0.7,Biotechnology
0.0,1.0,1.0,0.571428571,0.285714286,0.285714286,0.4,0.6,0.65,0.7,0.4,0.65,0.55,0.45,0.55,Nutrition Sciences
0.0,1.0,0.714285714,0.571428571,0.857142857,0.428571429,0.9,1.0,0.95,0.6,0.75,0.85,0.75,0.85,0.95,D-Pharmacy
0.0,3.0,0.714285714,0.142857143,0.571428571,0.571428571,0.45,0.45,0.45,0.55,0.4,0.65,0.55,0.45,0.45,D-Pharmacy
0.0,1.0,0.428571429,0.428571429,1.0,0.857142857,0.75,0.55,0.75,0.35,0.85,0.75,0.65,0.65,0.6,MBBS
0.0,1.0,0.0,0.428571429,0.285714286,0.142857143,0.75,0.65,0.65,0.4,0.9,0.8,0.65,0.85,0.9,MBBS
0.0,1.0,0.428571429,0.142857143,1.0,0.571428571,0.9,0.45,0.65,0.75,0.55,0.9,0.45,0.65,0.6,MBBS
0.0,1.0,0.428571429,0.285714286,0.571428571,0.285714286,1.0,0.9,0.9,0.85,0.95,1.0,0.9,0.9,0.85,Medical Technology
0.0,1.0,0.857142857,0.285714286,0.714285714,0.714285714,0.7,0.4,0.8,0.9,0.9,0.9,0.9,0.8,0.8,D-Pharmacy
0.0,1.0,0.571428571,0.285714286,0.714285714,0.857142857,0.85,0.3,0.95,0.7,0.7,1.0,0.55,0.55,0.6,D-Pharmacy
0.0,3.0,0.571428571,0.714285714,0.714285714,0.571428571,0.95,0.85,0.8,0.65,0.8,0.8,0.7,0.9,0.8,Medical Technology
0.0,3.0,0.285714286,0.428571429,0.571428571,0.428571429,0.65,0.6,0.6,0.35,0.85,0.65,0.7,0.75,0.65,Biotechnology
0.0,1.0,0.285714286,0.428571429,0.571428571,0.285714286,0.75,0.8,0.75,0.9,0.6,0.9,0.85,0.7,1.0,Biotechnology
0.0,1.0,0.571428571,0.428571429,0.571428571,0.428571429,0.6,0.55,0.45,0.3,0.25,0.3,0.25,0.45,0.25,D-Pharmacy
0.0,1.0,0.857142857,0.428571429,0.428571429,0.571428571,0.75,1.0,1.0,0.9,0.7,0.75,0.55,0.85,0.9,Medical Technology
0.0,1.0,0.428571429,0.285714286,0.571428571,0.571428571,0.65,0.65,0.75,0.75,0.95,0.9,0.85,0.65,0.65,D-Pharmacy
1.0,1.0,0.428571429,0.857142857,0.571428571,0.428571429,0.7,0.75,0.55,0.65,0.65,0.65,0.6,0.55,0.65,Biotechnology
1.0,1.0,0.571428571,0.857142857,0.857142857,0.714285714,0.7,0.85,0.55,1.0,0.7,0.8,0.7,0.7,0.75,MBBS
0.0,3.0,0.428571429,0.285714286,0.714285714,0.571428571,0.75,0.7,0.65,0.4,0.75,0.65,0.7,0.6,0.65,MBBS
0.0,1.0,0.428571429,0.571428571,0.714285714,0.714285714,0.9,0.9,0.9,0.4,0.85,0.8,0.9,0.85,0.8,MBBS
1.0,3.0,0.285714286,0.714285714,0.571428571,0.142857143,0.75,0.65,0.75,0.55,0.75,0.9,0.65,0.4,0.95,MBBS
0.0,1.0,0.571428571,0.714285714,0.571428571,0.0,0.55,0.55,0.85,0.9,0.7,0.75,0.8,0.45,0.95,MBBS
1.0,1.0,0.428571429,0.285714286,1.0,0.285714286,0.55,0.8,0.8,0.5,0.8,0.7,0.65,0.55,0.7,MBBS
0.0,2.0,0.0,0.142857143,0.571428571,0.142857143,0.85,0.85,1.0,0.75,0.95,0.9,0.85,0.9,0.95,MBBS
0.0,1.0,0.285714286,0.714285714,0.285714286,0.571428571,0.9,0.75,0.9,0.85,0.9,0.85,0.95,0.9,0.95,MBBS
0.0,3.0,0.714285714,0.142857143,0.714285714,0.714285714,1.0,0.55,0.75,0.6,0.8,0.65,0.65,0.85,0.65,MBBS
1.0,3.0,0.285714286,0.714285714,1.0,0.857142857,1.0,0.7,1.0,0.9,1.0,1.0,1.0,0.8,0.9,MBBS
0.0,1.0,0.428571429,0.571428571,0.571428571,0.428571429,0.6,0.6,0.7,0.3,0.7,0.7,0.65,0.85,0.8,D-Pharmacy
0.0,2.0,0.428571429,0.857142857,0.714285714,0.285714286,0.8,0.8,0.9,0.4,0.8,0.8,0.55,0.85,0.9,D-Pharmacy
0.0,1.0,0.285714286,0.857142857,0.428571429,0.428571429,0.65,0.65,0.6,0.65,0.65,0.8,0.65,0.7,0.75,D-Pharmacy
0.0,1.0,0.285714286,0.285714286,0.428571429,0.142857143,0.65,0.9,0.75,0.75,0.75,0.65,0.75,0.9,0.75,Medical Technology
0.0,1.0,0.285714286,0.714285714,0.428571429,0.428571429,0.75,0.65,0.75,0.65,0.8,0.7,0.8,0.45,0.9,D-Pharmacy
0.0,1.0,0.285714286,0.571428571,0.142857143,0.285714286,0.55,0.55,0.8,0.65,0.85,0.8,0.65,0.55,0.8,D-Pharmacy
0.0,3.0,0.714285714,0.571428571,0.285714286,0.428571429,0.9,0.8,0.85,0.8,1.0,1.0,1.0,0.85,0.85,D-Pharmacy
0.0,1.0,0.142857143,0.571428571,0.285714286,0.428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D-Pharmacy
0.0,1.0,0.714285714,0.714285714,0.0,0.714285714,0.7,0.6,0.65,0.25,0.45,0.8,0.55,0.55,0.65,Biotechnology
0.0,1.0,0.714285714,0.857142857,0.571428571,0.428571429,0.4,0.7,0.7,0.4,0.4,0.7,0.3,0.4,0.25,D-Pharmacy
0.0,1.0,0.714285714,0.285714286,0.857142857,0.857142857,0.85,0.5,0.75,0.85,0.8,0.95,0.7,0.5,0.75,D-Pharmacy
0.0,1.0,0.428571429,0.428571429,0.285714286,0.142857143,0.6,0.8,0.7,0.7,0.75,0.75,0.7,0.55,0.75,D-Pharmacy
0.0,1.0,0.428571429,0.571428571,0.428571429,0.142857143,0.85,0.85,0.9,0.65,0.75,0.9,0.8,0.7,0.75,D-Pharmacy
0.0,1.0,0.714285714,0.285714286,0.0,0.571428571,0.8,0.65,0.95,0.25,0.75,0.85,0.65,0.85,0.9,D-Pharmacy
0.0,1.0,0.714285714,0.857142857,0.142857143,0.285714286,0.95,0.8,0.9,0.4,0.9,0.95,0.55,0.55,0.6,MBBS
0.0,1.0,0.142857143,0.857142857,0.0,0.142857143,0.6,0.55,0.65,0.25,0.35,0.75,0.7,0.45,0.55,Medical Technology
0.0,1.0,0.285714286,0.714285714,0.285714286,0.714285714,0.65,0.55,0.7,0.65,0.65,0.8,0.7,0.8,0.6,D-Pharmacy
0.0,1.0,0.571428571,0.571428571,0.571428571,0.428571429,0.45,0.3,0.6,0.3,0.8,0.6,0.45,0.4,0.25,MBBS
0.0,1.0,0.142857143,0.714285714,0.285714286,0.428571429,0.8,0.75,0.7,0.95,0.7,0.8,0.55,0.6,0.75,MBBS
